id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1177,Technology,GreenTech,457653,0,397267,4.3,4.8,5.0,7.1,5.0
1178,Real Estate,Logistics,385043,4412475,0,1.4,5.2,1.6,1.4,1.1
1179,Retail,E-commerce,564881,1999769,4125566,1.5,7.4,4.1,4.9,9.0
1180,Entertainment,EdTech,149975,0,3853285,9.9,9.4,2.4,6.2,4.6
1181,Technology,EdTech,968467,2415564,488864,8.2,7.4,9.4,3.9,9.1
1182,Transportation,Logistics,171104,1854118,510426,5.3,9.2,10.0,7.7,3.3
1183,Real Estate,FinTech,438735,3140081,4387480,5.2,3.6,4.6,3.9,5.0
1184,Retail,Medical,865594,0,2154547,5.2,9.5,4.0,5.2,5.8
1185,Retail,FinTech,627213,9291630,0,6.8,5.0,2.9,9.1,7.5
1186,Education,FinTech,656483,7534705,1816925,7.4,4.8,7.6,6.3,7.2
1187,Retail,AI,543983,3683523,2525079,8.7,4.7,6.1,7.2,8.9
1188,Retail,Property,287983,0,3186846,6.7,3.5,9.2,4.7,5.7
1189,Finance,Property,540558,8469168,4872542,5.8,9.3,5.5,9.3,7.4
1190,Healthcare,Medical,146144,630248,3811122,9.2,9.3,1.9,6.2,6.2
1191,Transportation,FinTech,489905,8776727,0,5.3,2.5,6.6,6.6,10.0
1192,Technology,Medical,196498,3585262,3621042,4.7,2.2,8.9,6.0,8.2
1193,Education,GreenTech,554531,8350626,0,1.7,5.5,8.9,9.8,1.1
1194,Education,GreenTech,360732,0,810773,9.1,9.0,9.8,6.5,3.3
1195,Environment,Property,930958,5948094,3820366,4.2,8.9,9.9,1.9,7.3
1196,Healthcare,Property,740214,0,0,3.7,4.9,1.2,4.3,1.6
1197,Retail,AI,416292,3521810,280696,5.0,7.4,3.3,8.2,2.1
1198,Environment,Media,126733,9494067,0,7.4,3.2,9.3,0.3,0.6
1199,Healthcare,E-commerce,455511,4039662,2731882,1.5,5.7,9.6,5.4,8.5
1200,Healthcare,E-commerce,195605,3794019,0,6.1,7.9,2.3,6.4,2.7
1201,Environment,Logistics,698726,4430132,232584,8.8,7.5,1.3,9.3,8.2
1202,Retail,GreenTech,854593,2376701,321253,1.6,7.4,5.9,0.9,0.6
1203,Finance,Media,584622,4075082,1499767,7.0,3.7,1.9,7.9,2.8
1204,Technology,E-commerce,214541,9370912,3047255,2.7,7.8,4.8,6.5,2.4
1205,Transportation,Medical,160333,3486245,0,2.8,3.2,2.8,4.5,1.5
1206,Healthcare,FinTech,764545,4273964,251844,2.0,3.3,1.3,9.7,1.1
1207,Healthcare,Media,717917,2847357,0,5.1,2.2,3.3,7.3,8.2
1208,Transportation,Property,907214,9790865,0,8.0,7.4,2.9,8.8,3.3
1209,Finance,Media,197871,506351,2910589,2.7,9.0,1.4,5.5,7.8
1210,Healthcare,EdTech,295918,2327051,1897391,1.7,1.8,6.3,1.0,7.2
1211,Real Estate,Media,882925,0,430182,7.7,8.4,2.0,7.3,7.8
1212,Environment,Media,498150,4624725,4548523,1.1,6.5,6.2,6.7,7.3
1213,Healthcare,Medical,469592,0,2396638,6.7,9.2,1.2,8.9,1.6
1214,Education,Logistics,374876,5497063,1581328,4.8,5.2,8.4,3.4,5.9
1215,Environment,EdTech,979885,6898362,618816,1.8,5.0,8.2,6.8,8.4
1216,Environment,Medical,983011,6169778,4372937,9.6,2.4,6.9,2.0,3.7
1217,Healthcare,EdTech,156034,9545751,1554972,3.8,8.7,3.1,1.0,4.6
1218,Technology,EdTech,898004,4543039,231819,4.3,5.6,5.8,8.2,6.2
1219,Real Estate,EdTech,740130,8585632,3530083,7.5,8.0,7.6,1.0,6.1
1220,Finance,EdTech,351380,8324035,1452720,5.2,6.4,7.4,0.5,0.1
1221,Finance,E-commerce,426817,9126784,715841,3.0,6.9,1.4,4.5,1.2
1222,Retail,Logistics,935448,0,599193,5.0,2.5,7.2,6.3,5.9
1223,Entertainment,FinTech,558193,6938477,4439302,7.4,5.7,7.3,2.7,1.1
1224,Environment,E-commerce,789669,2226279,1680666,1.1,4.5,9.1,4.4,3.9
1225,Transportation,GreenTech,535286,0,3341512,6.0,1.4,4.5,3.2,9.3
1226,Technology,Medical,608361,0,2634852,5.2,6.4,5.2,5.6,5.3
1227,Education,FinTech,140482,3610199,2736509,2.1,2.7,7.4,9.1,6.3
1228,Transportation,GreenTech,671407,2818592,2748590,6.8,1.6,6.3,7.0,8.9
1229,Education,EdTech,897872,4410521,4937769,3.8,8.0,8.1,2.2,8.4
1230,Finance,AI,601428,4659962,4246033,5.0,4.8,9.0,9.2,4.6
1231,Entertainment,FinTech,263595,6815922,3376712,7.1,6.9,4.7,7.9,5.8
1232,Healthcare,GreenTech,484885,4448465,1493085,2.3,6.9,3.9,3.0,9.3
1233,Technology,AI,157673,0,3662334,8.2,2.7,6.7,0.0,0.9
1234,Transportation,Media,306683,5359983,2343705,4.4,4.8,3.0,3.8,1.2
1235,Transportation,Medical,990857,9359428,2682177,3.2,2.1,5.7,2.9,2.4
1236,Transportation,E-commerce,691087,8217899,1793475,9.6,4.9,9.3,6.2,1.4
1237,Healthcare,Property,375240,735499,2793026,4.3,1.9,3.2,8.1,6.6
1238,Retail,EdTech,420210,0,0,5.2,6.4,4.3,5.9,5.2
1239,Finance,EdTech,177364,1526304,1739736,4.9,3.6,9.2,8.0,8.3
1240,Education,FinTech,821813,5823569,4578068,5.7,6.9,9.6,5.5,1.8
1241,Technology,Media,516518,4405189,547192,4.1,3.2,5.6,7.8,5.2
1242,Education,GreenTech,518498,0,0,8.0,4.9,1.2,2.3,4.6
1243,Education,EdTech,165235,7626937,802167,6.1,3.0,6.4,2.0,2.8
1244,Real Estate,Medical,404951,6339969,0,4.7,6.5,6.6,0.5,0.5
1245,Transportation,Property,256685,2444437,460215,7.2,6.0,1.7,0.5,0.2
1246,Retail,Media,715254,1321100,4191577,7.9,6.2,8.7,7.2,2.4
1247,Finance,Property,988203,0,3077529,3.3,6.2,3.2,6.4,4.0
1248,Retail,Media,853103,8306761,0,5.2,4.4,7.2,4.9,5.5
1249,Environment,Logistics,740553,6206370,2590959,5.1,8.8,2.4,7.4,10.0
1250,Finance,Logistics,231353,4592666,1158339,4.6,9.8,9.3,1.9,3.3
1251,Education,Medical,431451,4620669,0,1.4,9.0,8.1,1.9,3.2
1252,Retail,EdTech,822093,6473277,0,4.7,2.1,7.4,7.2,6.0
1253,Real Estate,Media,585777,5943977,0,4.5,6.2,8.2,5.4,8.6
1254,Real Estate,Property,738818,6944408,211125,2.7,8.7,6.6,5.6,6.1
1255,Technology,Property,631718,6320572,4608501,7.6,6.0,7.6,9.8,8.1
1256,Technology,EdTech,951845,1069009,2541288,2.7,3.9,5.5,8.4,2.2
1257,Education,Media,900570,2277863,3806697,3.6,6.0,3.1,1.3,9.4
1258,Healthcare,Medical,892004,0,130325,1.9,1.7,6.1,6.0,7.2
1259,Real Estate,E-commerce,537572,4762448,4814637,8.2,5.4,6.6,1.4,7.2
1260,Finance,AI,515662,7033559,0,4.0,2.1,3.6,5.4,3.1
1261,Technology,E-commerce,310716,8629339,745136,2.6,6.4,1.7,9.4,9.7
1262,Real Estate,Medical,457664,6881725,961476,1.4,2.8,9.8,3.4,1.7
1263,Real Estate,EdTech,662649,4106398,0,1.2,7.2,7.4,7.5,1.9
1264,Environment,Medical,789558,931983,3920615,4.1,2.2,3.9,0.3,0.3
1265,Real Estate,Property,591706,9301807,2706467,9.6,7.0,5.9,2.3,6.4
1266,Healthcare,E-commerce,282596,4010047,0,3.9,6.9,7.3,0.7,0.2
1267,Transportation,AI,476741,0,3950453,2.6,6.9,8.3,2.5,6.7
1268,Healthcare,Logistics,215858,4661776,0,6.6,9.6,7.5,8.2,7.6
1269,Real Estate,Media,230943,1032164,1849991,3.8,5.9,3.7,2.4,4.3
1270,Retail,Property,308302,5593382,2480752,2.9,6.5,6.1,7.7,9.1
1271,Finance,E-commerce,393058,8371861,4517292,7.9,7.1,6.3,2.1,2.5
1272,Technology,E-commerce,960776,0,3763485,9.5,2.6,6.4,7.3,7.2
1273,Entertainment,Logistics,281593,5813446,809220,3.1,1.2,8.7,8.1,6.1
1274,Healthcare,FinTech,659054,0,3723040,2.9,6.5,5.6,4.6,7.0
1275,Retail,Media,388453,8096764,1807163,9.2,9.9,2.2,0.2,0.8
1276,Healthcare,FinTech,776295,0,3335606,1.2,6.8,7.4,0.7,1.0
1277,Environment,Logistics,236618,0,3678641,1.3,6.4,4.6,9.3,6.8
1278,Retail,FinTech,631503,9468018,2092575,5.3,8.8,2.6,1.4,2.2
1279,Healthcare,E-commerce,476872,7579056,4911241,4.7,3.6,9.9,8.4,4.3
1280,Environment,AI,662083,8785592,2830968,5.0,2.5,6.1,2.1,4.4
1281,Healthcare,Property,354230,6390129,1465657,9.0,4.5,2.3,2.4,9.9
1282,Technology,Logistics,953070,1285989,3406309,5.6,3.0,2.3,3.5,4.5
1283,Finance,Property,245094,0,4580739,9.6,4.6,6.4,5.0,6.6
1284,Real Estate,FinTech,336967,7145759,4016000,4.9,6.2,4.7,4.9,2.0
1285,Real Estate,E-commerce,925597,8344642,3612344,8.5,1.5,7.7,5.4,7.5
1286,Finance,Medical,777054,1483267,0,8.0,5.3,6.9,6.8,6.0
1287,Environment,E-commerce,476159,5050124,3229755,4.5,8.7,5.6,9.1,8.7
1288,Technology,AI,664125,1234012,4030226,3.8,9.7,7.8,9.2,3.2
1289,Finance,Media,292447,1308090,821947,2.4,2.0,5.6,2.0,4.1
1290,Real Estate,Media,561428,4554438,0,7.9,3.4,3.4,8.2,7.2
1291,Technology,EdTech,391722,5229675,907331,8.8,4.6,4.6,9.0,4.7
1292,Entertainment,EdTech,990818,1224225,817254,6.9,3.2,8.5,9.8,8.6
1293,Retail,GreenTech,543742,4026785,4351282,3.6,7.5,8.4,9.7,7.7
1294,Education,Medical,346529,9931959,3273292,4.3,1.0,7.9,1.8,1.4
1295,Education,EdTech,261502,0,3624179,4.4,7.2,5.5,9.7,5.5
1296,Real Estate,EdTech,173107,7088038,4930859,4.3,9.0,4.3,5.6,9.3
1297,Technology,Medical,416836,0,2082077,7.1,7.7,6.9,6.6,6.3
1298,Real Estate,AI,965319,5791139,0,3.1,2.7,5.0,3.6,9.1
1299,Retail,Property,536766,3616426,3469520,1.8,1.7,6.9,8.0,6.2
1300,Technology,EdTech,125598,0,3183313,1.0,5.2,5.2,8.5,2.7
1301,Healthcare,GreenTech,933811,7719500,1430128,8.3,5.9,1.6,5.3,4.9
1302,Technology,Medical,855023,0,1961650,5.7,7.1,3.8,5.0,9.5
1303,Real Estate,Property,856376,0,4747853,2.6,5.9,5.2,2.1,9.6
1304,Environment,E-commerce,860788,3366247,372018,7.6,6.8,1.6,5.3,6.5
1305,Education,GreenTech,770517,0,1740982,4.1,4.3,7.1,7.4,3.3
1306,Finance,GreenTech,715673,5509417,2949389,6.4,4.0,2.3,2.6,6.4
1307,Real Estate,EdTech,857744,6585920,0,6.3,5.3,3.3,2.3,2.8
1308,Finance,Property,394040,3747667,0,9.8,2.3,1.9,4.9,4.9
1309,Environment,EdTech,336390,5132594,4834427,9.3,3.8,5.4,9.5,1.7
1310,Education,EdTech,426599,7820438,2367401,3.0,5.2,5.7,3.0,7.0
1311,Entertainment,AI,840811,9952620,3411519,4.7,7.9,5.3,4.9,7.0
1312,Environment,E-commerce,250758,2687497,3408587,9.7,3.4,3.6,9.1,7.1
1313,Transportation,Media,177521,1802015,1114029,2.3,5.7,3.5,0.4,0.5
1314,Technology,GreenTech,805216,7098553,3919668,8.3,7.6,5.6,9.0,5.7
1315,Environment,EdTech,371235,3171215,0,8.3,1.4,5.1,1.2,2.2
1316,Environment,Medical,862738,0,3368215,7.5,2.9,2.8,1.1,8.9
1317,Environment,Property,698558,7957902,1104372,2.0,7.4,7.5,9.9,7.5
1318,Entertainment,GreenTech,378974,9092312,1220041,5.5,5.7,8.6,7.9,1.7
1319,Education,EdTech,995160,9735934,3288599,4.1,5.1,9.4,0.1,0.2
1320,Finance,E-commerce,235883,2977771,3684280,2.0,7.7,8.6,2.1,7.5
1321,Finance,GreenTech,183887,5755274,4230586,6.2,8.6,3.0,2.7,6.1
1322,Real Estate,Media,440576,6585627,2111838,4.8,2.3,4.2,4.1,7.5
1323,Transportation,AI,911839,2018210,2185719,5.0,1.3,2.6,3.0,2.7
1324,Education,FinTech,518390,7684290,3322123,3.1,8.9,1.7,5.7,9.5
1325,Education,Property,923071,5438867,1062032,5.6,3.0,9.4,6.7,3.4
1326,Entertainment,E-commerce,112581,3478818,3508107,9.5,3.4,1.5,8.0,9.5
1327,Environment,EdTech,834556,5990186,2030873,1.8,6.8,2.3,5.3,6.4
1328,Retail,E-commerce,486527,9307073,1387314,1.8,2.5,3.6,0.4,0.9
1329,Education,Logistics,581488,3942058,3221620,7.1,2.1,2.2,0.3,0.2
1330,Finance,Logistics,969669,9975393,3549150,8.2,2.8,8.2,7.9,2.5
1331,Education,Logistics,566067,3112777,4392316,5.7,5.0,8.3,0.4,0.1
1332,Education,FinTech,906489,2209288,2248756,1.2,2.0,6.1,2.4,1.4
1333,Technology,Media,273054,4263882,2091457,1.3,9.5,7.5,9.3,2.6
1334,Healthcare,Medical,162137,624146,0,3.7,2.5,4.0,6.2,5.1
1335,Education,Logistics,579913,8904690,1142302,4.2,3.5,8.5,0.7,1.0
1336,Entertainment,GreenTech,475882,0,1601527,1.5,9.1,5.4,3.0,7.1
1337,Finance,FinTech,523998,7226857,3305829,6.2,8.8,8.6,9.4,4.5
1338,Transportation,Logistics,885320,0,4821671,5.5,8.1,2.1,6.5,4.4
1339,Finance,Medical,834440,3632766,2454236,9.9,7.5,3.9,7.2,1.3
1340,Real Estate,EdTech,157041,7831589,3217575,2.7,1.7,4.9,6.8,3.8
1341,Retail,EdTech,715020,3990722,3692681,1.2,1.3,6.9,5.0,8.2
1342,Finance,Medical,859873,2794319,3362062,4.2,8.2,6.2,4.8,4.8
1343,Entertainment,Logistics,204409,0,3010506,3.3,10.0,2.4,3.3,1.1
1344,Education,AI,817171,3477509,4586661,9.4,9.1,8.1,0.6,0.5
1345,Retail,EdTech,125217,7870984,1701398,2.5,2.7,2.6,7.8,6.2
1346,Transportation,Medical,332641,4421492,794513,4.2,9.4,5.2,0.9,0.5
1347,Real Estate,Property,333910,8296101,278643,6.3,4.4,8.6,7.7,8.0
1348,Education,E-commerce,612066,5219950,1222590,8.4,1.4,3.3,4.4,5.4
1349,Real Estate,AI,849581,0,3274134,7.1,7.2,7.0,8.8,8.9
1350,Retail,GreenTech,388572,2538004,4081855,8.4,1.0,7.5,0.1,0.3
1351,Healthcare,FinTech,673638,9771942,1575634,2.2,7.2,1.1,8.2,4.3
1352,Education,Medical,165777,3003646,4561146,3.0,2.2,3.2,2.2,6.0
1353,Environment,Logistics,977089,557850,535585,4.0,1.4,9.3,1.5,4.0
1354,Technology,FinTech,292041,2842286,4996077,9.6,7.5,6.0,5.7,1.4
1355,Real Estate,Logistics,119805,4048459,0,2.3,2.8,1.7,9.1,1.9
1356,Entertainment,GreenTech,505558,4337303,2802145,1.5,6.0,1.1,2.5,8.1
1357,Transportation,Logistics,109303,1278814,3569647,1.8,2.8,9.1,1.5,1.7
1358,Environment,Medical,879335,9391098,0,5.7,8.0,1.4,9.3,3.4
1359,Real Estate,GreenTech,487723,7344086,0,1.1,8.8,2.7,1.2,5.9
1360,Retail,Property,859111,0,1722137,9.6,3.5,8.8,1.5,2.0
1361,Retail,Medical,401947,3062669,4057911,2.7,1.6,9.9,7.1,9.3
1362,Retail,E-commerce,659510,0,692041,1.7,7.5,3.7,3.8,3.4
1363,Environment,Medical,231463,3999941,2466259,5.0,5.5,3.9,4.1,1.6
1364,Retail,Property,409166,3914287,115464,5.8,6.8,8.3,1.4,8.2
1365,Healthcare,EdTech,890126,7585188,3259656,6.0,5.1,2.5,6.2,8.3
1366,Transportation,AI,402766,4846205,2537400,3.6,9.1,3.7,8.8,3.6
1367,Retail,Media,864608,0,2764144,1.7,7.6,6.0,2.9,7.5
1368,Entertainment,Property,341142,5546085,3125189,6.3,4.9,1.6,8.1,5.1
1369,Environment,Logistics,449896,6156302,0,6.4,6.7,9.4,9.1,3.2
1370,Finance,GreenTech,800348,8004390,216098,4.1,3.0,4.1,0.7,0.1
1371,Finance,Medical,133006,2860370,1519049,5.8,5.6,2.6,4.4,5.6
1372,Technology,Logistics,492208,3166274,3679530,5.8,1.4,7.0,2.4,1.4
1373,Finance,Logistics,896547,8379016,3793992,5.9,4.1,8.9,2.2,2.0
1374,Retail,FinTech,151313,2548323,1848086,7.6,7.3,3.9,6.8,6.8
1375,Finance,Medical,878257,1200623,750435,7.3,2.1,7.9,6.3,6.6
1376,Education,EdTech,810164,9474116,4108839,1.2,5.4,2.5,3.4,6.2
1377,Real Estate,Property,497918,4486117,4363021,5.9,1.7,5.5,0.1,0.5
1378,Transportation,Media,641178,3584126,4949260,4.9,3.1,7.6,1.2,6.9
1379,Real Estate,E-commerce,694599,0,4555631,9.3,2.0,6.2,2.0,3.0
1380,Finance,GreenTech,586612,0,4752901,6.8,2.2,1.1,7.8,2.8
1381,Entertainment,EdTech,642239,8643372,3923594,7.6,2.3,5.7,1.2,9.3
1382,Education,GreenTech,250635,5386553,4857118,1.2,1.8,7.5,0.9,0.2
1383,Technology,E-commerce,633690,8980566,1268195,7.9,7.1,7.4,5.3,2.3
1384,Entertainment,GreenTech,948045,0,1679272,1.8,9.9,8.6,0.9,0.8
1385,Finance,GreenTech,743122,9781009,1851027,9.9,5.3,7.0,4.3,5.4
1386,Retail,Logistics,647035,0,2150949,9.2,3.6,5.2,1.8,2.7
1387,Retail,Media,430182,0,3695552,4.6,8.0,4.6,0.4,0.7
1388,Entertainment,E-commerce,764167,7214425,1448522,6.4,7.1,2.2,1.7,8.7
1389,Healthcare,Logistics,240168,0,4458692,8.6,4.8,5.7,9.6,7.1
1390,Education,Medical,929812,0,3230280,8.9,5.2,4.9,1.7,4.3
1391,Technology,E-commerce,153994,2026814,3548838,5.0,10.0,7.9,3.5,5.7
1392,Entertainment,E-commerce,657357,0,0,7.0,8.2,2.9,5.1,9.7
1393,Technology,Property,372850,3660274,3343027,7.7,5.0,9.9,4.7,7.5
1394,Finance,AI,631051,0,2097613,4.5,1.0,8.8,9.6,2.3
1395,Technology,FinTech,375876,1205669,1068015,8.3,3.3,8.9,3.0,6.5
1396,Finance,Media,219375,0,281115,8.6,1.9,5.8,0.2,0.6
1397,Retail,GreenTech,955921,0,0,4.0,3.9,3.0,9.3,6.6
1398,Environment,E-commerce,109875,2025284,349514,3.8,3.1,8.9,9.4,9.6
1399,Retail,GreenTech,899005,2651755,0,8.7,7.3,7.6,4.0,3.0
1400,Entertainment,FinTech,133963,2043284,4247328,6.1,2.6,8.6,8.2,9.2
1401,Finance,Property,234534,808398,1528290,8.8,9.3,7.8,8.9,8.9
1402,Technology,E-commerce,363823,1424628,0,5.4,9.3,5.5,7.7,9.6
1403,Environment,AI,966365,2238813,4367440,1.8,8.5,5.3,9.2,3.7
1404,Transportation,Logistics,502754,9788351,3292604,3.4,1.3,9.7,3.4,8.6
1405,Environment,FinTech,245431,7139382,881422,4.4,8.5,7.7,8.4,3.4
1406,Real Estate,Media,785870,8495552,0,8.8,5.4,4.2,8.1,3.4
1407,Healthcare,FinTech,497752,4353854,1635234,9.9,4.7,6.6,5.5,6.4
1408,Transportation,E-commerce,267475,5137923,3029743,6.2,4.5,3.9,2.4,1.6
1409,Healthcare,EdTech,725992,7454363,1768423,2.8,7.8,6.4,8.4,9.9
1410,Retail,AI,649306,0,0,9.4,6.4,6.4,1.0,2.5
1411,Retail,E-commerce,284027,1029420,2397894,9.6,8.7,1.7,5.2,8.7
1412,Healthcare,Property,970470,7183286,2073107,3.7,3.4,5.2,4.4,2.1
1413,Environment,E-commerce,537027,0,2984273,9.9,5.4,8.5,6.6,2.5
1414,Retail,EdTech,520031,5806074,1566817,4.3,1.6,4.7,3.9,5.0
1415,Education,EdTech,727339,0,1712388,9.8,6.4,2.0,2.9,5.7
1416,Technology,AI,485719,3544458,599845,7.0,1.5,8.7,0.9,0.1
1417,Environment,FinTech,881807,0,279128,3.6,7.6,9.7,8.2,8.9
1418,Entertainment,Property,795691,8712069,3397454,2.5,8.3,8.2,8.7,7.7
1419,Retail,Medical,318496,4542691,3607813,1.4,8.7,3.1,3.9,5.2
1420,Environment,Medical,676514,5559228,309720,6.1,3.8,4.2,8.3,1.5
1421,Healthcare,Property,374312,8430901,180371,8.2,6.5,8.0,7.0,6.9
1422,Real Estate,EdTech,519786,6044977,4885723,5.2,5.8,7.4,8.6,3.3
1423,Technology,FinTech,217199,2084420,4422793,4.3,6.6,7.5,8.2,2.4
1424,Healthcare,Property,322572,8971195,1952424,8.2,7.1,7.2,2.2,7.5
1425,Real Estate,GreenTech,376001,1194985,4037663,7.4,1.4,4.4,6.4,8.1
1426,Education,AI,845117,2439658,2498368,5.2,2.2,3.3,9.5,2.1
1427,Entertainment,GreenTech,523448,0,2238860,9.7,6.0,4.5,7.3,5.9
1428,Entertainment,Property,529665,1663634,3301119,8.5,4.7,6.1,3.6,9.3
1429,Transportation,Medical,916183,5743470,133470,4.2,6.8,6.2,0.2,0.4
1430,Education,FinTech,481824,2032993,0,1.4,9.6,1.5,4.2,3.1
1431,Retail,Property,734585,0,409051,2.1,9.9,7.7,8.7,3.7
1432,Healthcare,GreenTech,668847,4564714,4479654,6.6,5.7,9.2,5.2,2.1
1433,Education,FinTech,668437,7017543,2784984,5.2,8.0,1.6,6.4,1.0
1434,Transportation,E-commerce,567642,0,2408474,6.7,9.0,7.8,8.2,8.3
1435,Finance,EdTech,635049,2754221,4391619,5.9,7.4,3.5,0.2,0.8
1436,Retail,GreenTech,219182,7445423,4040924,2.9,8.9,4.6,0.4,0.9
1437,Education,AI,490816,8196418,1148455,8.1,4.8,9.9,8.9,2.8
1438,Retail,E-commerce,175100,6223538,4158734,7.4,5.2,1.6,4.4,4.9
1439,Finance,EdTech,468670,4845119,1641775,8.3,8.3,5.3,4.7,7.3
1440,Healthcare,AI,251188,5803039,0,5.0,5.7,8.2,6.8,1.2
1441,Transportation,Medical,604989,2109809,0,3.9,3.0,1.2,8.4,6.5
1442,Retail,E-commerce,459558,6845294,1385464,7.4,8.0,9.4,6.1,9.8
1443,Entertainment,E-commerce,230426,6373493,4867608,10.0,5.1,4.4,4.9,7.6
1444,Finance,E-commerce,474918,8435184,3517978,8.4,9.7,1.8,0.6,0.2
1445,Retail,AI,228860,2209286,3954380,7.4,2.3,5.0,8.3,5.8
1446,Healthcare,AI,295869,0,4693458,4.5,6.3,9.1,8.6,10.0
1447,Finance,EdTech,299322,5215888,3197856,2.4,6.2,4.6,4.0,1.9
1448,Healthcare,FinTech,869374,0,3863367,7.5,6.5,2.3,9.0,7.4
1449,Environment,Property,753580,3286552,1740667,5.7,3.4,4.2,5.9,4.9
1450,Entertainment,FinTech,444867,1625337,0,2.4,7.7,4.5,4.6,4.4
1451,Healthcare,EdTech,709470,8715235,3761030,2.6,4.0,7.5,6.0,6.3
1452,Transportation,Logistics,458238,6976622,3627870,2.9,1.0,4.4,0.3,0.4
1453,Finance,FinTech,144152,4680418,3365964,8.8,6.4,1.2,1.6,1.9
1454,Environment,Property,555015,1302907,3802200,6.4,4.8,2.3,3.1,8.0
1455,Retail,EdTech,988467,5066191,3403260,2.5,4.0,1.8,6.3,5.6
1456,Real Estate,GreenTech,474214,0,3223856,1.7,7.2,8.5,2.3,2.7
1457,Entertainment,GreenTech,490037,6981598,4312750,7.0,1.2,6.3,0.6,0.9
1458,Retail,EdTech,658531,8126096,2856638,3.0,6.7,9.4,9.5,2.8
1459,Transportation,Logistics,414973,737544,948000,6.3,4.9,2.0,5.4,8.6
1460,Transportation,GreenTech,292204,8887557,2940132,8.6,9.9,4.8,1.8,6.2
1461,Retail,GreenTech,898970,0,2562165,4.8,9.4,8.3,1.3,9.3
1462,Environment,Medical,829076,4919470,856164,3.2,5.5,1.0,6.9,5.7
1463,Healthcare,FinTech,962081,3434633,3456946,7.5,3.3,6.9,8.1,3.6
1464,Finance,EdTech,960886,0,0,9.7,5.0,9.5,3.5,2.2
1465,Transportation,E-commerce,897715,4500619,0,8.1,3.6,7.1,5.2,5.2
1466,Technology,FinTech,226877,1388696,3814477,6.0,6.8,6.3,2.1,6.2
1467,Technology,Media,255964,9602390,0,1.5,8.5,4.5,5.5,4.3
1468,Real Estate,Property,115679,9806489,1556234,1.7,4.4,2.8,9.4,2.9
1469,Real Estate,Medical,723031,0,3576967,9.0,6.3,3.9,9.3,1.8
1470,Technology,Logistics,918958,4475309,2132371,6.7,7.7,2.4,8.0,2.1
1471,Retail,GreenTech,429337,3318760,2845617,5.9,2.0,2.0,2.4,5.6
1472,Environment,EdTech,192528,9532353,2970315,6.6,6.7,1.6,4.6,7.2
1473,Healthcare,Logistics,157525,0,2424448,2.2,6.9,8.5,7.2,9.9
1474,Healthcare,EdTech,423825,8157488,3571764,3.1,9.9,2.1,1.0,4.5
1475,Real Estate,Medical,969799,8628580,1365488,3.1,1.3,3.6,5.1,9.5
1476,Environment,AI,585092,5807871,3690738,6.4,6.5,3.2,7.7,7.1
1477,Transportation,Logistics,927094,0,0,7.2,5.9,3.9,1.8,7.5
1478,Education,FinTech,620028,0,1182407,4.1,1.1,2.0,8.0,1.7
1479,Technology,Medical,311842,0,382652,1.3,1.7,4.0,7.2,1.5
1480,Transportation,Medical,436801,7352012,924483,3.1,5.5,2.6,2.7,2.1
1481,Real Estate,Property,635025,3197464,0,7.6,9.5,4.4,3.8,8.7
1482,Finance,E-commerce,217683,9758262,3147310,4.9,6.8,8.4,8.0,9.1
1483,Education,Medical,269401,2904972,3906780,6.1,8.4,9.4,9.0,6.6
1484,Entertainment,GreenTech,348125,0,803211,1.7,5.5,1.9,8.5,8.6
1485,Healthcare,GreenTech,530759,0,2456526,1.2,3.1,6.7,3.5,3.9
1486,Retail,Logistics,264208,0,0,2.2,1.9,7.8,4.0,9.0
1487,Healthcare,Property,870399,7645573,1049548,6.7,6.0,7.6,8.7,6.9
1488,Environment,AI,431273,0,1460230,4.6,7.9,8.5,0.4,0.5
1489,Finance,E-commerce,723847,8645311,1117619,9.5,4.1,5.3,7.0,5.0
1490,Retail,Logistics,715203,3160493,2889673,5.9,8.7,8.6,5.6,5.6
1491,Retail,E-commerce,207022,7463656,0,9.8,3.8,5.1,3.9,5.6
1492,Technology,Logistics,263108,0,925562,2.0,9.7,6.0,9.6,5.8
1493,Transportation,EdTech,938806,8562342,4825114,5.3,8.5,4.5,2.4,7.5
1494,Healthcare,E-commerce,605233,2740341,0,2.7,8.3,7.5,0.6,0.7
1495,Technology,AI,841719,6916352,2753357,6.9,7.1,5.3,3.1,1.6
1496,Entertainment,E-commerce,363702,7560083,0,3.0,4.2,3.4,5.7,1.1
1497,Transportation,Logistics,609850,4325529,3395480,5.8,6.3,5.1,3.4,4.0
1498,Retail,Logistics,833571,3024796,3417809,5.5,3.0,8.5,8.4,3.4
1499,Technology,AI,764617,6179499,2970484,10.0,3.1,6.9,0.7,0.8
1500,Finance,Medical,644133,7044788,1159106,9.9,7.8,6.6,6.3,1.2
1501,Healthcare,E-commerce,902295,2292977,0,2.8,1.0,1.3,9.7,7.1
1502,Retail,Logistics,555769,4331441,0,7.1,7.9,1.6,5.7,5.2
1503,Retail,Medical,681751,2833060,725272,10.0,4.7,3.4,5.6,4.0
1504,Environment,EdTech,673217,1809553,1337125,2.5,9.5,7.3,1.5,4.7
1505,Finance,GreenTech,646392,7027804,3419046,9.9,4.8,5.1,4.1,1.3
1506,Technology,Media,483187,8117306,414105,2.8,6.5,7.5,1.4,3.3
