id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
1305,Biotech,Logistics,743248,5178005,4940921,4.8,4.9,2.0,8.8,1.4
1306,Transportation,FoodTech,569867,5393566,2898576,8.3,8.3,9.1,5.7,2.9
1307,Technology,FashionTech,332919,3639806,2168552,3.8,6.9,8.9,7.9,4.2
1308,Education,Media,245647,1562546,4922958,6.5,9.2,3.2,8.6,8.4
1309,Fashion,Biotech,339733,1412326,1324105,8.8,7.8,4.3,4.5,2.4
1310,Security,EnergyTech,357353,5887713,2846189,9.0,5.4,7.9,1.5,9.7
1311,Healthcare,FashionTech,856493,0,3961353,9.2,5.9,6.9,7.1,5.9
1312,Technology,E-commerce,974378,2267028,0,2.8,8.0,1.1,4.4,1.7
1313,Technology,FinTech,272637,5695284,1481297,9.6,7.6,9.8,6.1,6.4
1314,Entertainment,E-commerce,953853,6432558,1675751,6.2,1.5,2.6,5.3,7.2
1315,Energy,FinTech,368958,0,4335034,7.9,5.4,1.1,0.9,1.0
1316,Energy,Biotech,584241,5290781,4824812,5.8,7.3,2.5,7.9,3.6
1317,Transportation,GreenTech,256796,9473701,3948648,2.8,1.3,4.6,7.7,6.6
1318,Finance,AI,210545,2798525,4839411,7.7,3.5,4.8,6.6,3.6
1319,Environment,FoodTech,250966,4460641,2425878,7.2,4.3,7.9,6.9,1.9
1320,Healthcare,EnergyTech,318416,9796812,3670635,4.2,7.7,1.2,8.3,7.8
1321,Environment,Property,115624,3659563,1730552,2.9,6.7,9.7,0.8,0.5
1322,Fashion,EnergyTech,798792,1618530,3640184,6.3,2.2,4.0,0.6,0.3
1323,Retail,TravelTech,211014,3914668,2006324,9.5,2.1,4.2,8.8,3.3
1324,Education,Media,855995,0,0,9.7,1.1,4.6,9.6,7.2
1325,Environment,E-commerce,721080,1095571,3890386,4.3,9.8,10.0,2.2,7.8
1326,Space,Medical,966694,0,0,3.8,5.2,8.2,0.0,0.8
1327,Security,AI,429074,5128482,0,7.4,1.5,4.4,9.6,6.6
1328,Fashion,GreenTech,384746,3049260,560394,1.2,5.8,7.6,1.2,5.5
1329,Finance,EdTech,309724,0,3439351,2.7,6.2,7.9,7.8,6.2
1330,Space,Property,806452,719836,3971356,8.5,7.0,1.2,0.5,0.2
1331,Transportation,E-commerce,788197,6985136,3976306,7.5,7.6,7.9,6.1,2.9
1332,Entertainment,FashionTech,257792,5929749,3139034,4.6,7.6,3.6,9.0,8.4
1333,Transportation,Media,560570,1493860,4426349,9.9,7.0,9.1,4.9,9.8
1334,Security,Medical,536447,1690319,4464368,7.7,2.7,3.0,2.2,9.2
1335,Food,FinTech,274749,9823231,352897,9.6,9.5,9.0,9.6,1.5
1336,Security,EnergyTech,807984,787107,4405458,7.1,2.4,3.7,2.1,1.4
1337,Technology,E-commerce,264666,8635700,0,3.2,7.5,3.7,8.7,8.1
1338,Education,Property,543127,5417909,0,9.3,9.8,3.0,2.6,7.4
1339,Education,FinTech,330846,9999337,4439413,1.5,2.8,7.6,4.1,2.8
1340,Retail,Biotech,877167,5737855,769623,5.6,3.4,6.5,0.1,0.2
1341,Finance,Cybersecurity,673328,1437487,1838024,2.4,2.2,10.0,1.8,3.1
1342,Security,TravelTech,904256,6369346,120700,9.2,6.4,4.8,6.1,4.0
1343,Entertainment,Medical,284625,6463770,2092937,3.7,6.8,2.9,4.8,7.8
1344,Technology,Property,393709,779090,1919876,8.6,3.5,5.7,8.1,9.5
1345,Environment,FashionTech,347569,6609248,3577506,4.6,9.3,4.0,3.9,5.8
1346,Security,Logistics,953762,6127684,2331316,9.7,3.1,7.0,4.0,7.2
1347,Space,TravelTech,489249,5880762,4424080,2.3,5.3,7.9,8.7,4.9
1348,Education,SpaceTech,872914,7126652,4194808,5.0,7.7,3.7,9.7,7.8
1349,Education,FinTech,744311,5805703,304758,1.6,4.2,2.7,1.9,4.8
1350,Healthcare,Medical,930839,1251779,3616199,2.1,9.3,6.1,0.0,0.7
1351,Transportation,SpaceTech,861257,6882145,2048493,2.0,4.6,5.0,3.3,2.3
1352,Security,Media,278824,1018561,4268957,4.5,1.9,9.3,4.7,8.8
1353,Entertainment,GreenTech,587509,4773077,4954110,2.6,3.5,2.7,4.7,4.9
1354,Education,E-commerce,527857,8443786,2880667,5.1,5.0,2.1,0.8,0.7
1355,Transportation,Media,437472,0,2737682,6.7,2.2,6.8,9.7,5.4
1356,Finance,Property,291483,1372748,2044391,8.1,7.6,5.7,9.9,6.5
1357,Food,FoodTech,117438,7730771,3936266,3.3,4.9,3.9,8.3,6.9
1358,Education,Property,385230,0,0,5.0,4.0,9.6,0.2,0.7
1359,Food,FashionTech,189612,5986298,4531649,5.7,8.9,2.5,7.9,5.1
1360,Space,AI,787877,5021693,1418872,6.0,5.6,6.2,3.8,9.5
1361,Food,EnergyTech,267644,0,2596605,7.9,4.9,2.9,2.4,6.5
1362,Food,FashionTech,817715,1421812,0,9.5,2.6,9.1,0.9,0.4
1363,Transportation,AI,160752,3773892,2681535,8.5,3.2,8.5,2.5,3.8
1364,Finance,Logistics,499874,1863263,629585,8.7,1.3,3.9,1.7,4.6
1365,Real Estate,FinTech,298890,3353827,526475,1.7,9.7,7.2,0.7,0.1
1366,Space,AI,193725,7077597,4715176,8.0,7.5,9.2,3.5,2.4
1367,Fashion,AI,816315,0,4560972,8.9,1.6,7.4,8.4,1.2
1368,Environment,Biotech,690605,3731323,1156505,6.4,8.6,4.2,4.3,9.8
1369,Energy,Medical,149924,0,3450722,8.0,2.5,3.6,4.9,2.0
1370,Finance,FashionTech,803356,0,0,4.0,8.5,9.4,3.8,7.0
1371,Security,EdTech,796845,0,3177022,2.7,1.5,10.0,2.7,8.2
1372,Travel,TravelTech,832563,9850182,537191,6.8,7.8,1.5,9.6,1.1
1373,Energy,AI,175352,1217601,3809796,2.0,5.4,8.7,4.1,5.8
1374,Environment,EdTech,888937,8782776,3082114,3.4,6.5,7.3,4.0,4.8
1375,Biotech,Property,867133,6394299,4992920,1.7,3.0,9.8,5.2,1.7
1376,Biotech,Media,863643,2594682,0,6.0,4.7,8.9,2.8,4.2
1377,Transportation,Property,557232,9452086,483666,2.6,8.9,5.4,8.9,6.3
1378,Security,EdTech,910979,2256830,3605905,6.4,2.3,4.1,4.8,6.5
1379,Environment,Medical,775376,2968201,276840,5.4,2.3,2.0,4.2,6.6
1380,Biotech,Logistics,369893,4447793,2782382,3.0,6.3,6.3,4.8,5.6
1381,Fashion,SpaceTech,797647,7923203,1209453,2.9,1.7,3.3,3.7,9.4
1382,Fashion,Cybersecurity,729833,9425507,534040,3.5,9.1,7.3,3.2,2.5
1383,Entertainment,FashionTech,250010,5310286,1773854,8.9,1.9,9.0,2.8,9.8
1384,Education,AI,577218,0,4235323,2.8,7.0,1.0,9.8,3.4
1385,Fashion,SpaceTech,565097,7935757,2160622,3.0,5.3,2.2,6.7,8.6
1386,Security,FinTech,598774,9107905,526611,7.9,3.3,1.7,4.6,6.7
1387,Healthcare,FoodTech,760953,0,3465203,9.6,5.1,3.7,0.3,0.3
1388,Space,FinTech,305546,5951483,3615126,2.1,7.3,2.7,0.1,0.2
1389,Real Estate,Biotech,875551,6106489,3870540,2.9,4.4,4.1,0.8,0.1
1390,Healthcare,E-commerce,327730,7206176,0,6.6,5.5,5.1,1.9,5.5
1391,Energy,EnergyTech,436383,7514381,3744820,7.8,8.4,9.9,0.6,0.9
1392,Fashion,TravelTech,755719,0,4176945,9.9,8.4,3.8,8.1,9.4
1393,Environment,FinTech,200501,5595629,1823481,9.1,4.3,4.3,6.0,1.5
1394,Space,Logistics,843040,6440397,0,6.3,4.8,9.0,7.0,2.9
1395,Finance,Biotech,170767,529420,261170,5.9,2.7,9.3,7.1,4.7
1396,Entertainment,GreenTech,632231,4604358,0,4.0,1.2,4.4,8.9,9.0
1397,Travel,E-commerce,706819,0,4770628,6.5,6.5,4.0,1.2,2.3
1398,Retail,FashionTech,513874,0,1886295,2.8,9.9,8.9,5.8,2.7
1399,Biotech,Logistics,167751,2042283,788936,7.5,2.7,5.9,1.9,9.5
1400,Healthcare,EdTech,256451,6345439,2446567,8.5,7.1,6.0,4.6,1.1
1401,Real Estate,AI,276863,0,2146586,7.1,5.2,9.8,2.4,8.3
1402,Space,FinTech,656337,6037028,0,3.1,9.0,6.2,0.2,0.2
1403,Travel,FinTech,753393,8092068,355800,4.8,3.8,4.0,2.2,9.6
1404,Environment,GreenTech,426863,4803467,2784127,8.8,6.8,3.4,6.9,2.4
1405,Biotech,GreenTech,186567,0,3703423,8.3,3.1,4.2,5.8,6.1
1406,Travel,TravelTech,296154,4334394,0,2.9,5.2,5.2,8.4,9.9
1407,Biotech,FoodTech,547044,9439203,907821,3.7,5.0,6.1,2.6,6.4
1408,Retail,GreenTech,395504,0,796290,9.7,3.9,7.1,4.9,2.5
1409,Finance,TravelTech,880828,0,2440663,3.4,4.3,5.3,8.2,9.3
1410,Transportation,FashionTech,935858,9363515,2714336,1.1,1.6,3.0,6.4,6.3
1411,Education,Biotech,886172,6772870,1542126,9.9,10.0,9.0,0.1,0.0
1412,Food,Media,182906,867747,2400023,4.6,8.8,2.1,0.4,0.3
1413,Real Estate,Cybersecurity,821958,7806122,2146929,3.8,8.5,8.5,3.4,4.2
1414,Security,Cybersecurity,776257,2889074,772030,1.2,8.6,8.5,4.2,4.1
1415,Space,GreenTech,600250,1738075,313647,7.6,5.0,6.0,8.6,5.3
1416,Space,AI,960049,0,4471659,9.0,3.6,7.7,6.2,8.5
1417,Environment,SpaceTech,254329,3625328,4931935,6.0,1.6,1.7,8.1,1.8
1418,Security,Property,807908,7690565,3290736,6.1,5.1,6.0,0.3,0.2
1419,Security,FinTech,627037,5375891,620088,4.5,2.5,6.4,9.7,7.3
1420,Food,AI,949207,3843560,3738112,9.6,9.6,9.7,6.3,5.1
1421,Education,Property,743071,5449046,1835644,3.2,5.2,9.7,6.9,2.1
1422,Entertainment,GreenTech,217163,0,0,4.8,8.0,9.6,1.9,1.2
1423,Energy,FinTech,386478,869784,4352115,2.6,9.2,5.7,3.8,6.1
1424,Food,SpaceTech,136379,0,4293402,5.1,8.2,9.5,9.4,7.8
1425,Energy,EnergyTech,516401,0,1891407,1.8,8.3,8.7,4.9,5.4
1426,Real Estate,AI,679810,9647332,2310764,9.9,2.0,6.2,9.8,7.5
1427,Finance,Media,746284,0,3806576,9.3,6.5,7.7,4.7,1.5
1428,Environment,E-commerce,621442,9859513,938631,6.4,7.3,9.9,0.1,0.3
1429,Energy,Property,434759,7614255,0,3.1,7.7,4.6,8.3,3.8
1430,Technology,GreenTech,637838,5360400,3503600,8.2,8.3,3.9,4.3,7.4
1431,Travel,E-commerce,242100,0,744505,9.9,1.7,2.3,5.8,4.9
1432,Real Estate,Property,514480,0,1513620,3.9,6.8,9.3,9.8,9.4
1433,Biotech,Cybersecurity,577941,8157208,4555636,3.1,6.1,8.3,5.4,3.2
1434,Fashion,EdTech,855528,6052154,4645824,7.5,3.3,5.2,1.2,7.5
1435,Finance,EnergyTech,993552,8074420,4168039,3.7,6.8,8.2,3.7,5.3
1436,Transportation,AI,591673,9910283,1670075,5.5,7.3,1.3,4.0,1.3
1437,Retail,AI,321953,6116946,0,9.9,8.5,3.6,5.7,2.4
1438,Environment,FoodTech,122088,7851708,4129463,4.6,5.2,8.3,8.0,4.3
1439,Real Estate,E-commerce,553904,1758276,3973535,5.8,9.0,5.9,1.5,1.4
1440,Education,Property,311797,7528517,1489368,4.3,8.4,7.5,6.6,5.6
1441,Fashion,FashionTech,660559,0,4250439,9.3,5.6,1.9,6.7,1.8
1442,Space,Medical,136696,0,972815,7.6,8.4,1.4,5.8,8.3
1443,Real Estate,FashionTech,929899,848989,0,9.5,7.0,2.6,9.7,8.5
1444,Real Estate,SpaceTech,846132,764295,4825531,4.4,1.3,7.4,5.2,8.7
1445,Finance,Logistics,779648,0,2072119,1.2,8.6,6.4,8.6,1.8
1446,Transportation,SpaceTech,977605,5930525,2171723,8.4,8.9,5.5,4.8,3.2
1447,Transportation,AI,358754,7050499,2293358,3.2,9.0,4.0,5.6,7.2
1448,Fashion,Media,782278,3466245,3192682,7.5,6.2,2.9,2.1,3.1
1449,Retail,FinTech,294116,0,2170506,2.0,1.0,4.1,5.0,4.1
1450,Travel,FoodTech,539802,2842108,590500,1.0,1.1,7.0,9.9,7.4
1451,Space,Logistics,296554,2298898,2727961,3.7,7.4,3.5,6.5,9.0
1452,Finance,FoodTech,590039,1909263,4662294,3.3,9.1,7.0,6.9,7.1
1453,Security,EdTech,567846,9294964,4887362,2.3,4.1,8.8,7.2,5.8
1454,Energy,GreenTech,495238,0,1417022,9.6,7.2,6.7,1.9,8.4
1455,Environment,Biotech,506915,9806380,0,6.1,7.4,7.0,1.4,1.5
1456,Energy,EdTech,147902,8489063,4676609,6.7,5.4,2.9,8.1,8.1
1457,Environment,SpaceTech,693860,3053680,2868764,8.8,8.3,1.8,1.1,7.3
1458,Travel,Property,773504,3798060,1918811,4.4,1.1,3.8,2.7,9.5
1459,Food,Media,681491,5141920,1533930,9.7,8.7,5.8,7.5,6.2
1460,Food,TravelTech,419041,2798196,3550231,1.1,1.2,3.7,1.3,4.8
1461,Travel,EdTech,310167,8528211,4282934,9.1,1.8,1.7,3.0,6.0
1462,Travel,FashionTech,823224,6966042,2167213,4.7,3.8,1.9,1.3,5.4
1463,Transportation,Medical,194380,7801953,1346982,6.0,6.4,9.5,2.8,8.4
1464,Education,EnergyTech,145752,7211479,1856944,2.0,2.0,6.9,8.8,3.7
1465,Biotech,Biotech,907913,5543763,0,1.4,1.5,2.4,2.5,4.5
1466,Finance,EdTech,492576,5204586,0,6.7,6.8,4.0,0.9,0.8
1467,Healthcare,SpaceTech,325516,9443776,1399998,5.0,7.8,9.7,1.8,7.7
1468,Healthcare,AI,191931,4264536,1828938,2.8,3.5,4.3,5.9,5.2
1469,Finance,EnergyTech,683100,3546091,3071082,7.0,9.3,3.3,8.7,6.0
1470,Fashion,Property,300417,9390306,1122640,9.1,4.2,6.8,4.3,2.1
1471,Energy,FinTech,522901,1553149,1072075,7.1,3.1,5.7,9.4,9.0
1472,Healthcare,GreenTech,334245,0,602196,2.6,6.3,2.6,6.2,9.7
1473,Entertainment,EdTech,602163,4051558,1786123,8.3,9.0,9.7,5.7,7.0
1474,Education,Media,675857,4484831,4717822,8.9,1.7,3.6,5.7,2.1
1475,Healthcare,Biotech,823647,1834036,2183231,6.6,5.5,4.2,2.3,1.7
1476,Real Estate,Property,707336,9433240,1831518,5.0,1.3,5.8,9.7,3.9
1477,Energy,EnergyTech,696396,5979225,1459781,3.2,7.9,6.3,6.7,9.2
1478,Education,E-commerce,363060,9394496,1124524,5.7,1.5,6.1,9.9,3.6
1479,Transportation,EnergyTech,653625,7332136,3252407,3.0,5.2,9.5,9.7,1.4
1480,Environment,Medical,143354,4016568,2591251,7.2,6.4,3.1,8.8,9.5
1481,Transportation,FinTech,233263,8979900,1291680,2.9,9.3,1.0,5.3,7.1
1482,Entertainment,AI,787946,0,2569638,2.0,4.2,5.6,5.8,6.4
1483,Food,AI,611189,0,1543840,4.3,1.5,9.6,3.7,8.7
1484,Technology,GreenTech,206210,6461461,4065456,3.8,2.1,4.9,0.9,0.7
1485,Transportation,TravelTech,624475,3588290,0,5.9,9.8,8.9,9.1,5.4
1486,Energy,Media,680351,2030493,2569830,2.0,8.2,9.3,8.1,7.5
1487,Finance,AI,214626,5719574,613926,9.9,3.4,3.2,6.4,8.0
1488,Biotech,FoodTech,515007,3184556,3408955,8.1,3.1,9.5,5.1,1.6
1489,Environment,EdTech,629256,0,2826630,3.0,5.4,4.9,8.6,7.9
1490,Security,FashionTech,213025,3272729,3346116,7.4,5.5,1.6,6.6,1.9
1491,Fashion,Property,491242,4345336,953939,5.0,9.6,5.9,2.6,4.1
1492,Food,AI,580848,0,0,2.6,4.1,4.7,1.8,8.0
1493,Biotech,TravelTech,322630,8071458,569133,5.0,5.7,9.2,1.7,1.8
1494,Energy,EdTech,195040,848668,3709553,8.9,4.5,1.3,4.2,8.3
1495,Entertainment,SpaceTech,880423,4158040,637362,7.6,2.0,8.5,4.5,5.6
1496,Retail,EnergyTech,202950,4688455,2159225,4.4,5.8,3.2,9.2,4.4
1497,Energy,AI,512244,9950716,3798080,4.6,5.0,3.6,4.8,5.2
1498,Travel,GreenTech,173447,8192396,2042273,9.2,1.7,8.4,7.6,9.0
1499,Energy,Logistics,852702,6329589,2969368,6.7,2.4,7.2,5.6,8.8
1500,Finance,FoodTech,220226,9393677,0,8.5,4.6,4.1,0.2,0.6
1501,Space,Biotech,885195,1828307,2516459,9.8,9.0,1.3,3.3,4.6
1502,Fashion,AI,254008,8237381,1938336,4.5,8.5,5.4,7.1,6.5
1503,Environment,TravelTech,961849,6073445,2728302,4.8,4.7,5.9,3.8,2.3
1504,Energy,Media,196930,7766709,3861267,5.2,9.3,9.3,7.3,4.8
1505,Education,GreenTech,361477,0,1302496,5.8,8.7,8.5,8.3,6.9
1506,Biotech,EdTech,535327,1996616,812541,2.7,8.1,3.5,4.7,6.1
1507,Transportation,FashionTech,170153,3694407,1537149,7.7,4.3,2.4,1.4,2.5
1508,Technology,Media,427095,4219009,440116,7.4,6.0,8.4,1.5,3.6
1509,Entertainment,E-commerce,594998,6177928,3360309,9.7,6.7,6.3,0.2,0.1
1510,Healthcare,FinTech,690016,9070828,1734817,3.9,3.0,5.2,9.7,4.6
1511,Finance,Medical,753941,6627517,1213410,6.1,2.4,2.3,5.3,2.7
1512,Fashion,Medical,153101,1356395,299859,8.9,1.9,9.1,2.9,4.9
1513,Space,Media,962538,5656771,2679647,5.7,6.4,1.6,8.9,1.7
1514,Biotech,GreenTech,984464,2603933,1684858,3.2,4.2,3.9,3.0,2.2
1515,Entertainment,Medical,490386,6203199,1108648,5.1,6.8,8.3,1.6,4.1
1516,Healthcare,FashionTech,398646,0,0,3.4,5.5,8.5,9.0,5.4
1517,Retail,GreenTech,620231,7888891,3116090,3.5,7.8,7.3,2.1,4.0
1518,Technology,TravelTech,615296,1227529,699280,5.3,3.8,3.0,0.7,0.2
1519,Education,GreenTech,696008,7216420,739267,5.2,6.3,5.0,2.0,7.8
1520,Entertainment,Biotech,316211,2812004,2281073,8.3,6.3,3.1,2.7,1.5
1521,Energy,E-commerce,827106,0,3856704,6.2,4.9,3.6,4.4,5.4
1522,Fashion,EnergyTech,248665,2813062,3218885,9.1,3.8,9.5,4.7,5.2
1523,Entertainment,TravelTech,173724,3808432,4871983,4.6,4.4,1.1,4.0,2.0
1524,Biotech,EdTech,553829,1142326,216567,9.8,4.1,5.2,2.2,8.8
1525,Fashion,Biotech,544946,7305414,3788808,6.4,10.0,2.9,1.3,2.9
1526,Healthcare,Property,616797,3942157,1741803,9.3,5.2,5.8,8.4,5.5
1527,Fashion,FoodTech,308228,3984500,4449245,6.3,8.4,5.1,3.1,2.2
1528,Real Estate,SpaceTech,990718,0,1472385,2.0,9.1,4.1,0.2,0.4
1529,Retail,Medical,932166,9852470,1105806,5.3,3.9,9.7,2.4,1.8
1530,Education,FoodTech,654009,2407589,4746004,1.4,2.7,9.3,7.4,7.4
1531,Travel,FinTech,328437,8274402,0,7.8,5.5,4.8,8.6,7.7
1532,Education,Logistics,841972,1043586,1674853,5.3,6.1,4.7,4.1,4.5
1533,Technology,SpaceTech,582116,6554503,4813318,4.4,8.1,8.7,5.1,6.6
1534,Biotech,FashionTech,803434,7870424,4138936,6.7,8.0,5.9,3.3,6.1
1535,Energy,FoodTech,105187,1709390,4731553,6.1,4.8,5.0,0.6,0.9
1536,Retail,FoodTech,288615,3687933,785494,3.0,3.5,1.4,8.3,2.7
1537,Fashion,E-commerce,226217,3787416,2711920,4.7,5.2,6.1,2.7,9.2
1538,Space,TravelTech,863308,2525605,810905,4.2,8.4,3.3,4.3,7.8
1539,Healthcare,Medical,288665,2950358,0,9.6,2.5,8.3,0.3,0.5
1540,Finance,FashionTech,500253,6281192,3971713,6.2,6.4,1.8,5.5,4.8
1541,Transportation,Property,355752,8168759,1638804,7.4,7.2,1.8,8.2,1.2
1542,Security,FashionTech,698501,9684524,4142143,7.4,7.8,1.0,5.4,5.3
1543,Real Estate,AI,222935,6875760,3100862,6.9,8.5,6.7,5.5,4.8
1544,Healthcare,Cybersecurity,191795,0,2736400,3.2,8.1,7.8,8.0,9.6
1545,Finance,Biotech,519440,8182256,4688400,2.8,7.0,5.6,8.8,1.5
1546,Energy,Biotech,501985,4415386,2264625,9.9,6.8,2.3,0.0,0.1
1547,Space,TravelTech,426827,8039388,0,9.4,8.1,6.7,7.3,6.2
1548,Finance,EnergyTech,103957,9546112,4452129,7.6,6.5,7.0,6.3,3.3
1549,Environment,TravelTech,945246,3279793,2283137,5.9,2.3,2.3,4.5,4.8
1550,Travel,Media,193433,9995979,0,8.5,2.0,8.0,4.1,2.9
1551,Transportation,Cybersecurity,609926,3756306,124123,3.1,5.3,3.2,9.5,6.9
1552,Technology,Cybersecurity,820828,1316458,2671237,8.1,4.1,5.2,3.4,8.9
1553,Real Estate,EdTech,355415,6611104,3830923,6.7,6.2,8.2,8.8,8.9
1554,Security,SpaceTech,632887,0,480570,8.8,7.6,9.4,2.4,1.4
1555,Retail,AI,110070,3688843,3584871,1.2,6.7,2.5,5.7,1.2
1556,Food,FinTech,343540,5994532,4121034,8.9,5.4,7.2,0.2,0.3
1557,Fashion,FinTech,542914,1996331,2231965,8.5,8.2,2.7,5.9,5.4
1558,Finance,SpaceTech,876894,5886445,981591,6.6,9.1,8.7,3.4,4.9
1559,Environment,Media,716778,4895427,2521756,7.9,5.2,9.4,5.1,3.6
1560,Real Estate,GreenTech,660121,820164,133276,1.9,2.7,7.5,8.9,8.1
1561,Education,Logistics,903430,0,3981838,4.8,3.0,1.7,7.5,2.4
1562,Fashion,EdTech,198521,1334821,429068,5.7,2.0,1.3,8.7,3.2
1563,Retail,Biotech,617701,2976793,0,3.9,6.5,7.2,6.7,6.8
1564,Real Estate,EdTech,402396,0,4926771,5.1,8.9,7.3,4.3,5.3
1565,Technology,Biotech,772207,5151681,0,5.4,6.0,2.5,4.9,6.9
1566,Finance,FoodTech,575717,2258388,351378,6.2,7.5,4.4,2.8,9.2
1567,Real Estate,Medical,805218,5623461,2157718,4.9,5.5,6.3,8.8,7.8
1568,Environment,AI,132386,2543752,976754,1.3,5.2,2.8,2.9,4.8
1569,Food,Media,146928,3718106,0,4.3,6.1,1.7,3.7,9.6
1570,Real Estate,Property,495664,8293011,1571466,9.9,7.3,5.4,6.2,6.6
1571,Environment,Biotech,677683,6849132,3563128,3.4,5.6,5.4,6.1,10.0
1572,Security,Medical,172147,4075530,3786176,6.0,5.4,1.4,2.1,8.6
1573,Food,E-commerce,981605,0,3801962,1.9,1.7,2.8,8.0,3.8
1574,Fashion,TravelTech,993703,6637419,3016434,9.5,8.3,4.2,8.7,4.2
1575,Real Estate,FinTech,341144,0,1190057,5.2,8.4,1.0,4.0,7.4
1576,Security,FashionTech,354430,3253375,4642013,8.1,7.1,9.4,3.5,1.8
1577,Travel,Cybersecurity,758340,2197083,0,7.6,5.9,6.1,9.7,2.7
1578,Biotech,FinTech,974092,0,4691309,5.0,1.9,1.9,1.8,4.6
1579,Travel,AI,355786,6438153,0,9.1,4.6,3.7,0.4,0.9
1580,Finance,FoodTech,780666,0,3583989,6.0,1.3,5.6,5.4,8.0
1581,Entertainment,EdTech,997107,6634832,1499530,4.7,4.0,6.2,8.8,2.4
1582,Travel,TravelTech,975319,5206546,3596857,2.4,1.4,3.6,0.7,0.6
1583,Energy,Cybersecurity,537142,7974042,1115731,4.1,4.3,2.3,7.0,9.3
1584,Security,FashionTech,684370,3330071,1342537,4.8,1.7,7.8,5.8,9.5
1585,Fashion,EdTech,770233,726443,4532775,3.2,1.6,2.1,8.2,9.2
1586,Energy,Media,207820,9014615,3118054,5.0,1.7,9.3,3.3,2.1
1587,Technology,Biotech,522273,1878619,4302337,4.3,10.0,6.7,7.0,7.8
1588,Real Estate,Logistics,916879,1251620,0,2.8,4.6,8.4,0.4,0.0
1589,Biotech,Medical,394555,0,4193339,3.0,2.0,3.3,9.8,5.2
1590,Travel,FinTech,282296,1356217,2642268,6.3,8.0,9.3,9.9,2.6
1591,Fashion,Medical,666919,0,1936161,5.1,8.9,3.7,8.9,1.6
1592,Retail,Cybersecurity,152093,9937376,3204151,8.1,2.7,9.1,5.2,9.3
1593,Fashion,Media,878302,519081,1741391,2.9,4.8,3.9,1.4,8.3
1594,Real Estate,Media,946352,1067188,3487893,5.9,4.0,9.1,6.7,6.3
1595,Education,SpaceTech,430493,5956442,0,6.8,2.7,7.5,9.0,7.8
1596,Travel,Cybersecurity,615446,6670623,4185682,6.2,9.4,5.9,1.1,7.0
1597,Transportation,SpaceTech,708625,7294616,4796040,6.8,2.2,1.8,7.4,5.9
1598,Security,FinTech,866721,1173899,1003583,2.8,3.3,3.1,4.8,1.2
1599,Entertainment,EdTech,265416,984580,3040695,6.3,8.8,5.7,8.7,5.1
1600,Technology,Cybersecurity,838424,4684256,3817234,2.6,6.9,5.6,3.7,3.4
1601,Energy,FashionTech,857515,3716352,2812992,3.2,8.1,2.5,0.3,0.5
1602,Biotech,EnergyTech,501897,6768792,0,4.0,7.1,4.6,0.2,0.7
1603,Entertainment,Media,598217,6734305,1962310,3.4,3.1,9.6,6.2,3.0
1604,Transportation,AI,249604,8833831,1391983,3.9,6.9,1.6,0.8,0.2
1605,Environment,Media,722835,9530996,3957813,1.9,9.1,3.6,4.6,8.1
1606,Travel,EnergyTech,802623,6265510,4732305,2.2,5.5,5.7,7.0,7.3
1607,Food,Media,735365,0,2439600,2.4,1.2,7.0,5.1,1.8
1608,Food,FashionTech,686928,740245,1107973,7.3,7.6,9.5,1.9,8.0
1609,Real Estate,Cybersecurity,147429,7680017,2790553,9.5,4.0,7.5,9.8,3.2
1610,Retail,SpaceTech,874760,4405226,3579721,2.5,9.8,9.2,8.2,1.1
1611,Space,E-commerce,694598,2449976,4246745,6.1,6.5,3.0,7.3,6.9
1612,Food,AI,804459,4764155,4860702,3.0,7.4,9.3,2.9,5.0
1613,Education,Biotech,302792,0,2691869,1.7,7.0,1.6,4.5,7.6
1614,Entertainment,SpaceTech,140490,7792780,4040304,2.9,5.0,8.8,3.5,4.8
1615,Environment,AI,503197,0,2327831,7.3,9.6,8.2,3.7,2.8
1616,Energy,GreenTech,888251,5922178,1710512,4.8,6.3,1.5,8.9,6.2
1617,Energy,EdTech,885500,6295503,0,2.3,6.1,5.4,7.4,1.8
1618,Retail,FashionTech,751831,4197252,1613917,4.2,9.5,3.8,1.8,7.3
1619,Retail,AI,337326,0,1049678,4.2,7.6,3.3,4.9,6.8
1620,Fashion,GreenTech,525972,0,623668,4.4,8.8,9.5,3.1,8.9
1621,Biotech,Property,975449,0,160197,3.7,4.4,2.8,7.2,7.2
1622,Environment,TravelTech,777530,2150419,0,9.6,9.1,8.8,3.7,2.2
1623,Education,FinTech,623415,0,2807405,4.7,8.5,7.8,3.0,7.4
1624,Healthcare,Medical,201494,7425082,2193796,9.0,3.4,7.1,4.8,3.0
1625,Security,GreenTech,560637,717499,0,4.8,5.6,4.0,7.3,7.4
1626,Energy,Medical,201708,3602315,0,7.8,7.2,6.3,9.7,8.2
1627,Security,Logistics,226144,9000634,4798756,6.4,6.2,6.3,6.5,9.4
1628,Biotech,SpaceTech,820723,3080153,580897,1.1,9.3,7.6,4.3,1.2
1629,Environment,FashionTech,301637,1165637,179774,9.0,8.4,9.2,7.6,7.5
1630,Travel,TravelTech,837365,5698860,3493457,3.3,8.0,1.5,2.0,3.5
1631,Finance,Medical,780199,2754700,4043847,7.3,1.8,9.9,3.4,1.0
